ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343766
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343766
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343767
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343767
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343768
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343768
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343769
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343769
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343770
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343770
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343771
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343771
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343772
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,OLDHAM TOTAL CARE,13-Dec-24,"1,566.00 ",RESIDENTIAL LONG TERM,V002343772
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,MARTON CARE HOMES,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343773
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,GENHAWK LIMITED,13-Dec-24,297.40 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343774
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,GENHAWK LIMITED,13-Dec-24,"3,102.60 ",RESIDENTIAL LONG TERM,V002343775
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343776
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343776
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343777
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343777
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343778
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343778
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343779
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343779
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BELVOIR CARE HOME LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343780
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CLEGGSWORTH CARE HOME LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343781
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,13-Dec-24,"1,729.06 ",RESIDENTIAL LONG TERM,V002343782
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,13-Dec-24,"1,729.06 ",RESIDENTIAL LONG TERM,V002343782
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,403.20 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343783
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,403.20 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343783
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343784
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343784
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343785
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,039.74 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343786
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343787
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343788
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343788
